title,startYear,imdb_score
Ghostbusters,2016,6.8 
The Irishman,2019,7.8 
Suicide Squad,2016,5.9 
Deadpool,2016,8.0 
Bohemian Rhapsody,2018,7.9 
Ford v Ferrari,2019,8.1 
Arrival,2016,7.9 
La La Land,2016,8.0 
The Handmaiden,2016,8.1 
Manchester by the Sea,2016,7.8 
Avengers: Endgame,2019,8.4 
Spider-Man: Into the Spider-Verse,2018,8.4 
Moonlight,2016,7.4 
Dunkirk,2017,7.8 
Get Out,2017,7.8 
The Shape of Water,2017,7.3 
Monos,2019,6.8 
Roma,2018,7.6 
Thelma,2017,6.9 
The Guilty,2018,7.5 
Parasite,2019,8.5 
Little Italy,2018,5.7 
Marriage Story,2019,7.9 
Climax,2018,6.9
Portrait of a Lady on Fire,2019,8.1 
Knives Out,2019,7.9 
Once Upon a Time in Hollywood,2019,7.6
