title,startYear,imdb_score
Inglourious Basterds,2009,8.4
The Curious Case of Benjamin Button,2008,7.8
Toy Story 3,2010,8.3
The Dark Knight,2008,9.0
Avatar,2009,7.9
Drive,2011,7.8
How to Train Your Dragon,2010,8.1
WALL·E,2008,8.4
The Last Airbender,2010,4.0
Black Swan,2010,8.0
Slumdog Millionaire,2008,8.0
Fast & Furious,2009,6.5
Hachi: A Dog's Tale,2009,8.1
Transformers: Revenge of the Fallen,2009,6.0
Twilight,2008,5.3
Shutter Island,2010,8.2
3 Idiots,2009,8.4
Harry Potter and the Deathly Hallows: Part 2,2011,8.1
Moneyball,2011,7.6
Cars 2,2011,6.2
Fish Tank,2009,7.3
A Prophet,2009,7.8
Incendies,2010,8.3
The Social Network,2010,7.8
Pirates of the Caribbean: On Stranger Tides,2011,6.6
Inception,2010,8.8
The Help,2011,8.1
The King's Speech,2010,8.0
Fast Five,2011,7.3
Midnight in Paris,2011,7.6
The Artist,2011,7.8
The Artist,2011,8.2
A Separation,2011,8.3
